depth[mm]	HF [V]	NF [V]	TGC [dB]
113,6	0,005	0,003	30,551
113,7	0,005	0,000	30,551
113,8	0,006	-0,005	30,551
114,0	0,007	-0,007	30,551
114,1	0,008	-0,006	30,551
114,2	0,008	-0,002	30,551
114,4	0,007	0,004	30,551
114,5	0,006	0,006	30,551
114,6	0,006	0,003	30,551
114,8	0,005	-0,003	30,551
114,9	0,006	-0,006	30,551
115,1	0,006	-0,002	30,551
115,2	0,006	0,004	30,551
115,3	0,006	0,006	30,551
115,5	0,006	0,002	30,551
115,6	0,005	-0,003	30,551
115,7	0,005	-0,005	30,551
115,9	0,005	-0,004	30,551
116,0	0,005	0,000	30,551
116,1	0,005	0,003	30,551
116,3	0,004	0,004	30,551
116,4	0,004	0,004	30,551
116,5	0,004	0,002	30,551
116,7	0,003	0,000	30,551
116,8	0,003	-0,001	30,551
116,9	0,002	-0,002	30,551
117,1	0,002	-0,002	30,551
117,2	0,002	-0,001	30,551
117,3	0,002	-0,001	30,551
117,5	0,003	-0,003	30,551
117,6	0,005	-0,005	30,551
117,8	0,006	-0,006	30,551
117,9	0,007	-0,005	30,551
118,0	0,008	-0,002	30,551
118,2	0,007	0,002	30,551
118,3	0,006	0,004	30,551
118,4	0,005	0,004	30,551
118,6	0,004	0,004	30,551
118,7	0,004	0,004	30,551
118,8	0,005	0,005	30,551
119,0	0,005	0,005	30,551
119,1	0,005	0,002	30,551
119,2	0,004	0,000	30,551
119,4	0,003	-0,002	30,551
119,5	0,002	-0,002	30,551
119,6	0,001	-0,001	30,551
119,8	0,001	-0,001	30,551
119,9	0,001	-0,001	30,551
120,0	0,001	0,000	30,551
120,2	0,002	0,001	30,551
120,3	0,002	0,002	30,551
120,5	0,002	0,002	30,551
120,6	0,002	0,001	30,551
120,7	0,001	0,000	30,551
120,9	0,001	0,000	30,551
121,0	0,002	0,000	30,551
121,1	0,002	-0,001	30,551
121,3	0,002	-0,002	30,551
121,4	0,002	-0,002	30,551
121,5	0,002	-0,001	30,551
121,7	0,002	0,000	30,551
121,8	0,001	0,001	30,551
121,9	0,001	0,001	30,551
122,1	0,001	0,000	30,551
122,2	0,001	-0,001	30,551
122,3	0,001	-0,001	30,551
122,5	0,002	-0,001	30,551
122,6	0,002	-0,001	30,551
122,7	0,002	0,000	30,551
122,9	0,002	0,002	30,551
123,0	0,002	0,002	30,551
123,2	0,002	0,002	30,551
123,3	0,003	0,002	30,551
123,4	0,003	0,001	30,551
123,6	0,003	0,000	30,551
123,7	0,004	-0,003	30,551
123,8	0,004	-0,005	30,551
124,0	0,005	-0,004	30,551
124,1	0,005	0,000	30,551
124,2	0,006	0,004	30,551
124,4	0,005	0,005	30,551
124,5	0,004	0,001	30,551
124,6	0,003	-0,001	30,551
124,8	0,002	-0,001	30,551
124,9	0,002	0,001	30,551
125,0	0,004	-0,001	30,551
125,2	0,006	-0,005	30,551
125,3	0,007	-0,007	30,551
125,4	0,008	-0,006	30,551
125,6	0,007	0,000	30,551
125,7	0,006	0,004	30,551
125,9	0,005	0,005	30,551
126,0	0,005	0,003	30,551
126,1	0,004	0,000	30,551
126,3	0,003	-0,002	30,551
126,4	0,002	-0,002	30,551
126,5	0,002	-0,002	30,551
126,7	0,002	-0,002	30,551
126,8	0,003	-0,003	30,551
126,9	0,005	-0,004	30,551
127,1	0,005	-0,003	30,551
127,2	0,005	0,000	30,551
127,3	0,004	0,003	30,551
127,5	0,003	0,003	30,551
127,6	0,002	0,002	30,551
127,7	0,002	0,002	30,551
127,9	0,001	0,002	30,551
128,0	0,002	0,002	30,551
128,1	0,002	0,001	30,551
128,3	0,002	0,001	30,551
128,4	0,003	0,000	30,551
128,5	0,003	-0,002	30,551
128,7	0,003	-0,003	30,551
128,8	0,003	-0,003	30,551
129,0	0,003	0,000	30,551
129,1	0,002	0,002	30,551
129,2	0,002	0,001	30,551
129,4	0,002	-0,001	30,551
129,5	0,002	-0,002	30,551
129,6	0,002	-0,001	30,630
129,8	0,002	0,001	30,551
129,9	0,002	0,001	30,551
130,0	0,003	-0,002	30,551
130,2	0,003	-0,004	30,551
130,3	0,003	-0,002	30,551
130,4	0,004	0,002	30,551
130,6	0,004	0,003	30,551
130,7	0,004	0,001	30,630
130,8	0,004	-0,002	30,551
131,0	0,004	-0,004	30,551
131,1	0,004	-0,004	30,551
131,2	0,004	-0,003	30,551
131,4	0,004	-0,002	30,551
131,5	0,003	-0,002	30,551
131,7	0,003	-0,001	30,551
131,8	0,002	0,000	30,551
131,9	0,002	0,001	30,551
132,1	0,003	0,000	30,551
132,2	0,003	0,001	30,551
132,3	0,003	0,003	30,551
132,5	0,003	0,004	30,551
132,6	0,003	0,003	30,551
132,7	0,003	0,001	30,551
132,9	0,003	0,000	30,551
133,0	0,003	-0,001	30,551
133,1	0,003	-0,003	30,551
133,3	0,002	-0,003	30,551
133,4	0,002	0,000	30,551
133,5	0,003	0,002	30,551
133,7	0,004	0,001	30,551
133,8	0,006	-0,005	30,551
